RPM_Reduction_Percent,Actual_RPM,Current_A,Ambient_Temperature_C,Ambient_Humidity_Percent,Motor_Temperature_C,Vibration_g,Health_Score,Fault_Type,Maintenance_Needed
0.52327291,982.76,0.110141097,25.43301759,53.93,33.66142115,0.246472202,97.34,Overheating,Yes
10.03567708,932.01,0.238925219,25.64279456,61.65,32.21711586,0.205548529,94.84,Normal,No
20.17217883,774.94,0.51393931,24.46822828,60.97,49.61683639,0.526837818,81.03,Normal,No
22.33256924,746.73,0.321407647,36.53036041,59,64.67285996,0.24846649,83.61,Normal,No
28.01385361,710.98,0.434657075,39.88167431,51.41,58.00871704,0.16095906,75.32,Normal,No
33.85215155,614.43,0.492611412,31.88018659,55.49,40.18973637,0.381482369,68.46,Overload,Yes
13.55217563,937.26,0.254029779,27.3936481,57.85,35.19947871,0.263228602,86.86,Normal,No
0,983.08,0.229752823,26.80082935,51.23,39.99081685,0.128571575,87.24,Normal,No
26.96646714,763.58,0.202372933,27.73176566,56.93,38.66949513,0.312132868,87.6,Normal,No
23.32788033,775.09,0.322409843,35.96063799,58.78,41.96113839,0.713331965,84.06,Normal,No
24.9418638,711.21,0.335713377,27.44843184,63.92,57.6872747,0.217210829,82.33,Normal,No
21.96618116,780.1,0.312336821,20.50951636,56.77,52.58835636,0.342664747,81.88,Normal,No
4.766011117,983.7,0.150451893,29.56937625,58.08,42.5733597,0.088297919,92.12,Normal,No
19.79695466,794.47,0.120745192,29.0869851,64.47,35.947633,0.202244418,95.93,Normal,No
24.59245178,801.79,0.178947289,27.98199878,61.97,41.28621121,0.307848119,74.62,Normal,No
31.45606157,726.31,0.431462064,34.62209381,52.92,62.49288311,0.36098045,68.2,Normal,Yes
43.42565942,602.47,0.330862533,26.69276495,49.61,62.14594432,0.236209922,86.12,Overload,Yes
25.77137291,723.87,0.488107194,33.48867776,65.88,75.39481956,0.340012738,66.58,Overload,Yes
6.120630209,895.56,0.311398023,28.19230552,59.52,34.32228777,0.312583304,93.05,Normal,No
1.605649579,959.44,0.055912326,24.53842493,57.91,45.83572198,0.354368036,96.93,Normal,No
36.75496376,640.28,0.35705935,36.64165475,65.48,49.97729903,0.332276175,66.11,Overload,Yes
41.03314685,611.53,0.416938407,28.15664954,55.73,55.70311961,0.640364815,60.44,Overload,Yes
0,956.56,0.218170136,30.41353197,51.51,37.80786968,0.049040348,100,Normal,No
37.97754719,619.86,0.400236755,30.68334045,63.63,45.84413513,0.656007662,67.7,Overload,Yes
25.1123569,755.22,0.165094552,23.05535792,60.14,36.11053859,0.292811862,81.1,Normal,No
3.259822975,956.28,0.272883608,23.9800696,62.56,38.21830852,0.18573305,89.06,Normal,No
17.98509536,871.84,0.133831658,23.25025316,50.5,41.71499094,0.250273688,82.92,Normal,No
23.4671203,782.2,0.242153404,29.3045793,59.97,36.55158742,0.333852148,88.67,Overheating,Yes
19.25076763,859.89,0.070962386,26.05582874,56.91,50.15399412,0.178096761,81.59,Normal,No
23.55615792,755.8,0.035538878,24.22172892,50.63,48.13420712,0.296007185,75.16,Normal,No
41.62990997,621.25,0.33138064,37.59666679,63.85,63.84975284,0.166030542,83.13,Overload,Yes
24.71026558,818.33,0.115718565,31.92937707,54.22,50.52807164,0.027128949,81.43,Normal,No
18.7667738,864.83,0.049931682,24.18473267,50.19,40.12161599,0.157896186,86.67,Normal,No
17.52143363,781.1,0.420161429,41.55447704,36.68,77.57451296,0.403532281,81.26,Mechanical_Vibration,Yes
13.81529569,851.69,0.285121526,22.65370078,51.18,34.08334278,0.341542685,88.18,Normal,No
13.18934118,854.3,0.355585577,28.71823015,57.82,31.83534063,0.416291387,92.65,Normal,No
26.55701814,754.03,0.188237334,37.05686837,65.08,68.12935692,0.62066216,81.4,Normal,No
15.68541422,870.64,0.165726512,24.3407241,56.52,49.99615855,0.257310393,84.61,Normal,No
7.724429304,889.15,0.199766623,25.33622039,58.88,47.065293,0.084862905,97.78,Normal,No
2.881354056,973.94,0.088436864,24.45585939,59.78,53.17637746,0.282247709,92.21,Normal,No
4.580290671,873.43,0.208204584,20.51023332,53.82,35.92361838,0.12843708,90.3,Normal,No
21.36778002,843.99,0.420806906,44.3589683,46.6,73.99621955,0.242629338,79.52,Overheating,Yes
29.18050304,687.73,0.295897263,27.84862768,45.17,40.07432561,0.422050552,73.56,Normal,No
26.84345576,733.8,0.345229171,35.30677448,59.3,54.88904017,0.213050771,86.17,Normal,No
24.64140114,741.19,0.38104642,41.47176833,38.98,76.56621514,0.276048736,80.81,Normal,No
44.3241103,602.58,0.394958647,37.63687704,48.94,48.83750582,0.559517524,73.18,Overload,Yes
0,897.24,0.241939659,27.6630502,59.12,36.2264179,0.255250982,81.58,Normal,No
42.78355863,571.52,0.384284684,42.61844855,36.79,68.00728481,0.198398213,80.86,Mechanical_Vibration,Yes
16.73672497,828.35,0.101557991,26.59648854,56.84,41.52689142,0.069095099,94.41,Normal,No
48.23545445,499.53,0.198730958,20.85972622,55.64,68.47654082,0.594876381,70.21,Normal,No
31.38490618,755.23,0.470718376,34.3653997,57.26,75.82344404,0.371787795,71.26,Overload,Yes
14.55068216,819.01,0.122083829,31.4194492,51,45.18845787,0.054508766,88.39,Normal,No
13.63718471,894.49,0.081944468,25.40036474,58.66,29.75371183,0.097418356,91.72,Normal,No
10.00501115,914.21,0.249605713,27.66272336,62.68,51.05659555,0.255516728,92.11,Normal,No
11.92607701,931.15,0.192713669,30.35758378,56.7,52.12009613,0.257795261,84.49,Normal,No
54.00124366,433.35,0.27128391,23.44877269,62.47,50.24535621,0.638890507,68.75,Normal,Yes
44.6081244,524.64,0.264011068,24.58196279,57.92,46.84203272,0.741904882,71.75,Normal,No
8.24427963,961.39,0.058989541,27.83721663,59.55,38.65571102,0.030692251,95.18,Normal,No
9.481285233,922.2,0.20389573,26.77620823,55.47,37.15554735,0.27364727,86.91,Normal,No
11.03025061,827.93,0.038480097,25.72291901,50.41,43.60946563,0.354298045,89.51,Normal,No
0,990.25,0.060056889,24.61491523,52.4,28.88728669,0.249529624,98.16,Normal,No
8.775530615,927.69,0.243130889,19.31255844,64.34,36.56290034,0.409930161,83.27,Normal,No
24.02105689,793.32,0.310207773,25.25392587,64.42,41.79992164,0.167440377,84.39,Normal,No
28.94307739,683.44,0.361417273,40.58959076,53.96,75.76044934,0.40169003,85.9,Normal,No
0,924.42,0.161498032,22.87160256,50.86,37.75270307,0.073742024,95.82,Normal,No
16.03289274,860.57,0.113502401,28.11185972,52.09,39.18975484,0.292395248,83.96,Normal,No
26.14871724,689.73,0.439338155,34.86460505,60.59,57.23719813,0.276640801,72.48,Normal,No
1.810644808,901.22,0.084405517,26.27816628,58.15,39.81504984,0.34139144,85.67,Normal,No
73.9506963,147.25,0.776074071,48.37883069,36.53,101.5849342,0.810190137,55.71,Critical_Fault,Yes
72.90592344,303.48,0.957823798,50.45612493,37.44,93.92843891,1.166287082,46.66,Critical_Fault,Yes
22.1044698,784.11,0.236214283,21.9473271,54.29,37.90444111,0.276203559,78.69,Normal,No
11.87737448,872.18,0.124775503,26.81108684,62.98,54.36071722,0.17147158,90.54,Normal,No
24.66609745,808.87,0.198539016,30.74661521,53.01,33.63474359,0.340366226,93.38,Normal,No
23.71929873,788.26,0.280796484,21.26871554,63.25,39.08521294,0.232637217,85.38,Normal,No
29.62520017,768.4,0.078454686,26.28405302,60.32,48.92661419,0.246794313,82.11,Normal,No
23.91905811,705.09,0.316891479,34.02084893,51.97,48.83571147,0.392582453,94.79,Normal,No
24.8117975,750.54,0.179386302,29.08539136,54.42,32.33145999,0.252811049,75.9,Normal,No
12.0431465,814.88,0.101658247,28.90720156,61.53,48.8347721,0.20591938,100,Normal,No
14.42247067,846.6,0.08090954,24.77402933,51.16,45.36912728,0.184980043,91.02,Normal,No
22.95553658,760.47,0.385514786,44.09038043,68.17,67.23926635,0.578909588,82.78,Overheating,Yes
9.996454549,925.11,0.079393446,25.56695136,61.92,48.33159263,0.020914043,86.16,Normal,No
10.25225552,899.28,0.103599258,19.30161414,54.22,50.4787686,0.290148515,84.95,Normal,No
25.14362855,773.47,0.136967611,25.27021353,53.39,45.30366741,0.300163611,78.97,Normal,No
75.33376053,274.77,0.867792174,39.98374741,74.43,95.76696769,0.960929589,42.81,Critical_Fault,Yes
24.23971471,843.8,0.046569457,26.23246902,53.63,47.25919718,0.319224273,88.32,Normal,No
32.02881338,667.12,0.433973235,22.80508803,64.38,50.76692195,0.266273115,84.89,Normal,No
21.5859092,746.47,0.384214988,21.11129017,67.46,52.16519507,0.354099047,70.59,Normal,No
2.154334461,988.29,0.083260895,30.07436899,50.94,48.96691487,0.05571884,95.91,Normal,No
32.90087989,638.86,0.366696608,24.00582137,54.01,52.68975712,0.282468894,84.08,Normal,No
25.64784307,802.77,0.24375955,24.48219593,63.65,42.06423013,0.346371328,90.23,Normal,No
34.17712784,646.95,0.397612538,28.74708503,60.82,58.84386295,0.194676219,75.2,Normal,No
33.43769453,643.04,0.434757867,36.90909163,64.03,59.7762902,0.263040043,73.93,Mechanical_Vibration,Yes
0.744737115,973.66,0.22037953,26.89647956,50.72,37.78435603,0.260374086,92.31,Normal,No
13.69366969,891.82,0.192901284,21.1247648,55.53,41.84398909,0.144671895,91.42,Normal,No
36.02901207,633.4,0.450383428,33.20780543,51.36,59.67426388,0.511112018,80.4,Overload,Yes
2.823332719,946.06,0.243661805,26.82209155,54.43,31.42139554,0.302297392,84.67,Normal,No
14.55140767,921.09,0.267903789,24.92966419,60.7,33.97045016,0.309400117,83.48,Normal,No
5.765320637,908.05,0.057638357,21.2240516,57.74,38.37124005,0.292502259,85.42,Normal,No
9.622264296,905.23,0.111387915,19.73083969,51.87,41.43346714,0.219820635,94.41,Normal,No
35.56922461,670.36,0.362314567,21.02510473,56.6,63.7921358,0.235600057,83.2,Overload,Yes
1.274659558,922.03,0.218525691,30.00989543,57.82,53.66635118,0.094324857,83.35,Normal,No
21.17104201,807.46,0.249686949,19.8594417,53.98,29.6564837,0.118925529,89.43,Normal,No
8.729569298,870.51,0.147234559,25.3912335,50.02,35.65517963,0.177875328,99.27,Overheating,Yes
41.00113112,622.94,0.312300724,35.17733958,64.58,63.84075138,0.281374104,79.97,Overload,Yes
3.719395952,924.27,0.090815497,21.83707772,53.7,41.45535906,0.26103461,97.94,Normal,No
28.64107613,741.32,0.444390057,35.31985777,64.63,67.26431704,0.278248759,69.03,Normal,Yes
6.313332265,981.1,0.184606022,22.09831742,52.94,36.5626321,0.176191953,97.68,Overload,Yes
36.5757461,668.68,0.379060295,44.28037495,57.26,72.8166218,0.465470018,70.56,Overheating,Yes
9.635266593,913.7,0.360605075,24.10875371,57.05,51.38675937,0.306135709,91.69,Normal,No
2.754796228,963.17,0.07077002,28.74410653,56.72,34.16746018,0.385607794,96.23,Normal,No
3.744321695,939.53,0.149285273,28.78657106,51.14,36.82160879,0.276827765,88.17,Normal,No
37.74413876,681.37,0.425873225,34.11559621,40.8,69.87259628,0.136740856,76.8,Overload,Yes
40.95201912,562.54,0.609474172,42.53305293,64.88,69.27871856,0.583845869,71.13,Overheating,Yes
19.64173571,762.14,0.292296116,27.60376105,64.72,41.88192042,0.124845125,84.34,Normal,No
36.56147574,660.97,0.332420015,33.55668988,69.53,51.17535878,0.31066001,78.91,Overload,Yes
54.56545279,422.52,0.500197129,27.95385362,74.32,61.79076541,0.469340079,58.74,Overload,Yes
14.15974601,820.42,0.109815133,28.76243723,60,34.47231931,0.277856039,94.35,Normal,No
6.695582951,875.28,0.027596188,21.18154464,55.36,53.71657574,0.117447472,92.6,Normal,No
3.618360642,944.48,0.084554583,32.37554424,60.93,31.86219005,0.242528758,100,Normal,No
11.6891399,879.78,0.202604551,20.92837609,54.33,41.1233876,0.380049997,91.15,Normal,No
12.77236691,882.04,0.565691964,39.57478659,48.74,75.36019269,0.417580941,73.22,Normal,No
36.88522498,669.15,0.445422812,45.6179822,43.79,75.20259459,0.241810495,67.77,Overheating,Yes
30.71759169,713.94,0.291627837,35.94882999,47.55,52.42804064,0.253076858,74.39,Normal,No
0.136511122,991,0.099195428,28.5579517,54.24,54.01275916,0.088869372,90.94,Normal,No
13.70721729,854.98,0.190559521,26.85398796,54.24,42.707858,0.310727215,93.51,Normal,No
40.43062988,616.12,0.336484277,35.34525443,56.91,52.94933735,0.12965844,68.31,Overload,Yes
22.54028065,825.55,0.437611753,41.29021975,42.25,64.71451006,0.15037231,73.76,Normal,No
30.7852568,697.23,0.453746262,42.66321714,64.25,71.0078157,0.377858996,78.71,Overheating,Yes
44.31347658,538.14,0.168710891,36.29477582,61.17,48.82916356,0.509687781,84.43,Normal,No
22.948536,730.82,0.425733621,22.22221064,55.41,56.1512602,0.136086937,75.85,Normal,No
0,943.47,0.142823536,24.16053384,53.46,31.01837426,0.213942818,89.01,Normal,No
8.275078688,943.93,0.248491537,29.16674783,62.73,41.83944294,0.255495563,98.1,Normal,No
40.81191409,614.95,0.585614062,38.35463898,47.98,80.74939968,0.5256731,64.5,Overheating,Yes
38.6194541,636.86,0.317669919,30.30722034,61.53,47.38963731,0.227996709,74.09,Overload,Yes
3.665362215,958.17,0.216865249,26.19760583,64.28,30.57748469,0.208705838,99.48,Normal,No
13.03773898,925.86,0.244451058,28.18280867,51.54,44.1951474,0.182726725,91.86,Normal,No
37.05352602,610.06,0.439413579,34.15623017,62.86,58.02976387,0.386659374,78.67,Overload,Yes
22.04107695,817.75,0.280451431,24.37047831,62.11,34.61473251,0.150436302,82.76,Normal,No
24.30502842,755.37,0.379581945,28.95147038,60.91,42.10094139,0.301112568,84.86,Normal,No
7.076596941,904.87,0.108126715,30.8501924,61.02,41.82416134,0.106792617,100,Overheating,Yes
27.54012123,748.29,0.440066969,36.10635096,55.94,49.45923767,0.332494327,82.94,Normal,No
34.83854447,668.04,0.473620053,24.83066893,57.62,55.02466091,0.341872429,80.95,Overload,Yes
21.42789104,800,0.207541738,26.58788635,51.98,53.32484335,0.031970528,95.62,Normal,No
29.67511369,706.49,0.421541923,33.6427464,64.92,48.93934363,0.261520249,82.29,Normal,No
20.66842767,791.79,0.299769077,22.28815869,60.11,31.11893344,0.132630994,84.73,Normal,No
17.22348797,923.31,0.114815244,25.47205215,55.01,48.98396066,0.172011177,94.14,Normal,No
41.49702658,632.44,0.335895442,28.29066224,62.14,52.03099936,0.10426672,72.39,Overload,Yes
42.06130758,608.33,0.381439094,31.85763585,60.81,50.39890363,0.241321974,75.5,Overload,Yes
24.49719663,759.45,0.249456224,25.83577519,57.96,68.53902726,0.488805093,81.02,Normal,No
31.7186288,723.1,0.515439757,22.54983111,55.09,60.7862116,0.386064979,54.81,Overload,Yes
10.73197911,913.37,0.092982044,24.07899418,53.08,41.56090664,0.128986155,94.39,Normal,No
16.52481901,835.81,0.312587806,28.88464337,51.15,33.36762096,0.331045764,88.51,Normal,No
1.085742699,976.98,0.151618524,28.31424348,59.73,37.92073497,0.148493727,88.3,Normal,No
5.946330649,937.28,0.204842044,28.82050123,59.15,35.9491226,0.157337806,95.16,Normal,No
8.968297056,783.48,0.319668518,20.08455199,52.32,55.79196423,0.254609677,87.04,Normal,No
67.93240336,329.08,0.836928401,45.99377884,64.01,91.16807311,0.636399094,50.88,Critical_Fault,Yes
4.37609568,936.72,0.130667657,32.98954269,55.99,52.6161156,0.126293661,99.26,Normal,No
55.45067999,509.2,0.353540889,36.0152188,50.18,67.12457463,0.453366189,73.22,Overload,Yes
31.58737628,684.9,0.359387932,28.90317658,63.09,48.85636735,0.265817424,83.92,Normal,No
40.75414632,544.92,0.213089001,32.34850855,47.74,45.53306804,0.677760138,69.22,Normal,Yes
0.140479383,996.56,0.118493758,20.13903055,54.06,35.49136641,0.050621335,97.38,Overheating,Yes
14.13551566,816.82,0.203367155,26.7849771,51.22,53.75116079,0.29229838,93.22,Normal,No
22.46362966,794.25,0.26345199,28.8237029,53,44.81364043,0.148508897,84.92,Normal,No
14.20378946,869.64,0.131318323,22.91345331,63.81,46.2098838,0.20041093,98.96,Normal,No
34.36135852,694.73,0.453017571,32.88737579,64.68,50.85737878,0.356068465,80.47,Overload,Yes
14.47647283,823.63,0.096245722,26.51893277,59.74,51.30263516,0.037629872,100,Normal,No
7.446032385,926.9,0.166593629,18.7540928,54.52,40.43439416,0.069526318,87.2,Normal,No
33.44991282,610.93,0.296146406,34.45165257,55.24,60.00061518,0.177302465,78.64,Normal,No
6.815979128,959.88,0.093573,23.35549865,59.96,55.46122675,0.312222084,88.9,Normal,No
16.49548472,855.83,0.398224378,38.11499919,43.75,72.52110156,0.32657384,82.37,Normal,No
74.36322008,276.17,0.927557907,51.33208367,45.39,107.0723566,1.129437923,34.31,Critical_Fault,Yes
24.18647613,758.23,0.491149618,42.40768089,65.67,66.68010433,0.354127573,66.26,Overheating,Yes
14.23909156,874.22,0.123972656,31.58047424,60.15,53.27375661,0.354046601,88.88,Normal,No
17.39735643,890.2,0.166991108,21.71263792,60.1,32.62529373,0.227954662,87.69,Normal,No
13.55962297,852.98,0.380964963,35.94630419,60.16,76.46673797,0.355089415,75.94,Normal,No
2.644580735,979.11,0.040751641,22.51956858,63.36,37.99039526,0.1831706,91.76,Normal,No
63.4354948,322.17,0.788400123,45.20021256,42.27,82.73218834,0.927615062,51.43,Critical_Fault,Yes
64.20695615,323.16,1.036963627,46.43479567,57.84,92.84916323,0.829787205,39.64,Critical_Fault,Yes
48.25125317,521.43,0.408149451,20.86051826,60,54.36209219,0.711530327,67.18,Overload,Yes
17.72573419,866.87,0.041173481,27.993897,51.76,33.02353541,0.064415052,88.67,Normal,No
4.134876703,948.44,0.175535858,31.10779016,53.06,44.05575064,0.157908603,89.03,Normal,No
50.76633388,482.9,0.237664686,29.3063922,61.82,57.54184863,0.738494088,71.42,Normal,No
0,997.51,0.261973958,27.69974199,62.54,46.86873421,0.318093669,94.03,Normal,No
6.200973317,916.59,0.202418901,25.86114381,52.75,52.3924052,0.295483876,86.71,Normal,No
3.069885823,981.08,0.132472978,29.8177073,63.53,37.83731709,0,100,Normal,No
19.59096942,744.24,0.523007334,43.622718,37.33,74.44510297,0.245388207,70.79,Overheating,Yes
42.18375831,629.43,0.343769916,37.09533508,58.98,53.32574909,0.137739516,68.96,Overload,Yes
6.648310807,906.87,0.080314583,25.85408154,56.96,51.29455652,0.196828055,83.62,Normal,No
3.097613942,997.91,0.127239022,29.66360249,57.26,32.75982891,0.274732385,87.47,Normal,No
28.15000561,667.74,0.282192086,33.97426748,59.59,63.91992906,0.40872059,69.9,Normal,Yes
80.80536052,218.7,0.654214239,46.7652033,61.02,103.754255,0.823561999,57.43,Critical_Fault,Yes
24.94777843,777.4,0.13976198,29.81446275,61.38,45.08086728,0.238308125,76.94,Normal,No
16.00680829,855.3,0.177268371,23.28730821,57.11,44.70606838,0.146714603,94.98,Normal,No
18.57228591,774.47,0.402422955,37.94850019,49.87,78.12787502,0.297480715,77.28,Normal,No
27.14819276,738.45,0.366566505,30.44946092,65.55,56.50350681,0.356082684,80.1,Normal,No
30.65777526,646.15,0.388972339,35.97601231,60.91,55.83188543,0.221066837,73.74,Normal,No
34.40894698,645.8,0.290095759,31.06639052,51.62,57.88822838,0.402138495,79.02,Normal,No
23.1376524,809.79,0.083798665,21.33773511,60.48,39.45640961,0.228058906,83.24,Normal,No
9.676807708,935.11,0.061922217,31.32578745,53.65,45.03297075,0.086398869,99.06,Normal,No
32.98073177,670.79,0.507238199,35.73119883,54.76,67.11720489,0.680682622,75.24,Overload,Yes
49.8907737,462.05,0.193924135,29.33244669,47.02,46.24010208,0.736791115,71.45,Normal,No
52.51235085,500.73,0.466894913,36.49768903,74.93,45.99470128,0.407501577,71.01,Overload,Yes
15.27752495,847.97,0.356306992,39.46536244,62.43,73.87921491,0.205404282,83.51,Normal,No
0,942,0.02455474,28.07047108,59.36,47.57505883,0.04153561,99.16,Normal,No
18.62051931,845.12,0.204863104,29.12653136,62.97,42.02995498,0.228526349,93.85,Normal,No
50.17306866,497.31,0.310971791,34.13423845,56.68,45.64646182,0.624610789,77.85,Overload,Yes
43.74980499,610.63,0.332993494,30.6011558,50.29,64.83592641,0.386123591,72.58,Overload,Yes
32.68891792,629.34,0.409094063,31.58551743,46.33,53.24139555,0.258240064,75.47,Normal,No
22.21318475,650.75,0.468440592,23.67486933,60.01,59.34515804,0.611937084,79.9,Normal,No
22.12633543,789.88,0.39240552,40.32595632,55.98,64.87736507,0.402472802,76.77,Normal,No
17.85625471,833.06,0.27886392,22.07603777,50.29,49.31378885,0.242191881,86.02,Normal,No
14.18731349,790.46,0.298580504,28.94713975,58.04,39.20055925,0.216593576,91.38,Normal,No
10.40600182,856.85,0.081865535,32.11174677,58.75,46.34011193,0.207446162,97.18,Normal,No
